2015/10/1,0.3,D,IF,12000
2015/10/2,0.3,D,IF,11500
2015/10/3,0.3,D,IF,11700
2015/10/4,0.3,D,IF,11200
2015/10/5,0.3,D,IF,11300
2015/10/6,0.3,D,IF,11400
2015/10/7,0.3,D,IF,11000
2015/10/8,0.3,D,IF,10800
2015/10/9,0.3,D,IF,10500
2015/10/10,0.3,D,IF,10100
2015/10/11,0.3,D,IF,11000
2015/10/12,0.3,D,IF,11200
2015/10/13,0.3,D,IF,10000
2015/10/14,0.3,D,IF,10500
2015/10/15,0.3,D,IF,10800
2015/10/16,0.3,D,IF,9900
2015/10/17,0.3,D,IF,9800
2015/10/18,0.3,D,IF,9500
2015/10/19,0.3,D,IF,10000
2015/10/20,0.3,D,IF,10500
2015/10/21,0.3,D,IF,9200
2015/10/22,0.3,D,IF,9000
2015/10/23,0.3,D,IF,9000
2015/10/24,0.3,D,IF,8900
2015/10/25,0.3,D,IF,9500
2015/10/26,0.3,D,IF,8700
2015/10/27,0.3,D,IF,8500
2015/10/28,0.3,D,IF,8400
2015/10/29,0.3,D,IF,8300
2015/10/30,0.3,D,IF,8300
2015/10/31,0.3,D,IF,8000
2015/11/1,0.3,D,IF,8500
2015/11/2,0.3,D,IF,8700
2015/11/3,0.3,D,IF,8000
2015/11/4,0.3,D,IF,7800
2015/11/5,0.3,D,IF,7600
2015/11/6,0.3,D,IF,7900
2015/11/7,0.3,D,IF,7500
2015/10/1,0.3,D,VVS1,9000
2015/10/2,0.3,D,VVS1,8500
2015/10/3,0.3,D,VVS1,8700
2015/10/4,0.3,D,VVS1,8200
2015/10/5,0.3,D,VVS1,8300
2015/10/6,0.3,D,VVS1,8400
2015/10/7,0.3,D,VVS1,8000
2015/10/8,0.3,D,VVS1,7800
2015/10/9,0.3,D,VVS1,7500
2015/10/10,0.3,D,VVS1,7100
2015/10/11,0.3,D,VVS1,8000
2015/10/12,0.3,D,VVS1,8200
2015/10/13,0.3,D,VVS1,7000
2015/10/14,0.3,D,VVS1,7500
2015/10/15,0.3,D,VVS1,7800
2015/10/16,0.3,D,VVS1,6900
2015/10/17,0.3,D,VVS1,6800
2015/10/18,0.3,D,VVS1,6500
2015/10/19,0.3,D,VVS1,7000
2015/10/20,0.3,D,VVS1,7500
2015/10/21,0.3,D,VVS1,6200
2015/10/22,0.3,D,VVS1,6000
2015/10/23,0.3,D,VVS1,6000
2015/10/24,0.3,D,VVS1,5900
2015/10/25,0.3,D,VVS1,6500
2015/10/26,0.3,D,VVS1,5700
2015/10/27,0.3,D,VVS1,5500
2015/10/28,0.3,D,VVS1,5400
2015/10/29,0.3,D,VVS1,5300
2015/10/30,0.3,D,VVS1,5300
2015/10/31,0.3,D,VVS1,5000
2015/11/1,0.3,D,VVS1,5500
2015/11/2,0.3,D,VVS1,5700
2015/11/3,0.3,D,VVS1,5000
2015/11/4,0.3,D,VVS1,4800
2015/11/5,0.3,D,VVS1,4600
2015/11/6,0.3,D,VVS1,4900
2015/11/7,0.3,D,VVS1,4500
